epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5317.88,1.05738,0.4892,1.04879,0.97704,0.94998,0.97339,0.70088,1.06586,0.41481,1.04636,0.008614,0.008614,0.008614
44,5392.9,1.05876,0.49355,1.04536,0.98429,0.94201,0.97298,0.7008,1.06997,0.4207,1.05401,0.008581,0.008581,0.008581
45,5467.49,1.05289,0.48692,1.04956,0.98197,0.94289,0.97536,0.70341,1.06536,0.41929,1.04682,0.008548,0.008548,0.008548
46,5543.66,1.05741,0.48686,1.0502,0.98661,0.93972,0.97313,0.70023,1.06664,0.41539,1.05699,0.008515,0.008515,0.008515
47,5619.81,1.04773,0.48939,1.04662,0.9847,0.93986,0.97352,0.70841,1.05427,0.42147,1.04936,0.008482,0.008482,0.008482
48,5696.59,1.04888,0.4883,1.05212,0.9793,0.94836,0.97472,0.70534,1.06323,0.40862,1.04521,0.008449,0.008449,0.008449
49,5772.06,1.062,0.48662,1.0534,0.98171,0.94533,0.97538,0.70746,1.05559,0.41221,1.04279,0.008416,0.008416,0.008416
50,5847.87,1.04199,0.47975,1.0462,0.98142,0.94624,0.9732,0.70369,1.05746,0.4126,1.04798,0.008383,0.008383,0.008383
51,5923.16,1.05853,0.48345,1.05335,0.98594,0.94214,0.97574,0.71061,1.05493,0.40194,1.04184,0.00835,0.00835,0.00835
52,5999.82,1.04113,0.47931,1.04498,0.98137,0.94214,0.97404,0.7122,1.054,0.40145,1.04337,0.008317,0.008317,0.008317
53,6076.11,1.04969,0.48341,1.04592,0.98431,0.94346,0.97304,0.70649,1.05713,0.40499,1.04406,0.008284,0.008284,0.008284
54,6151.39,1.04112,0.47645,1.04038,0.97786,0.94563,0.97318,0.70455,1.05495,0.40108,1.04272,0.008251,0.008251,0.008251
55,6226.05,1.04264,0.47412,1.04258,0.98335,0.94715,0.97726,0.71163,1.05121,0.3998,1.03863,0.008218,0.008218,0.008218
56,6301.47,1.03926,0.47101,1.04457,0.97793,0.95171,0.97687,0.71104,1.04931,0.40309,1.04322,0.008185,0.008185,0.008185
57,6376.77,1.0341,0.47234,1.03763,0.98362,0.94761,0.97613,0.71191,1.04851,0.39651,1.04231,0.008152,0.008152,0.008152
58,6452.47,1.03838,0.47006,1.03908,0.98486,0.94813,0.97569,0.71103,1.05347,0.39917,1.04005,0.008119,0.008119,0.008119
59,6528.09,1.03067,0.4667,1.03573,0.98064,0.946,0.97646,0.71003,1.04196,0.39112,1.03609,0.008086,0.008086,0.008086
60,6602.98,1.02645,0.4643,1.03834,0.97883,0.94789,0.97578,0.71499,1.04622,0.38757,1.03683,0.008053,0.008053,0.008053
61,6680.39,1.0352,0.47094,1.04228,0.97786,0.94587,0.97676,0.7167,1.04273,0.39109,1.03945,0.00802,0.00802,0.00802
62,6757.58,1.03208,0.46821,1.03823,0.97971,0.9458,0.97762,0.71595,1.05085,0.39085,1.0363,0.007987,0.007987,0.007987
63,6833.02,1.01439,0.46198,1.02956,0.98394,0.94898,0.97689,0.71822,1.04152,0.39139,1.03505,0.007954,0.007954,0.007954
64,6909.16,1.02165,0.45862,1.03402,0.98074,0.95139,0.97656,0.71368,1.04485,0.38755,1.03248,0.007921,0.007921,0.007921
65,6984.81,1.02553,0.46128,1.03823,0.98622,0.94548,0.97741,0.71584,1.04022,0.38201,1.03497,0.007888,0.007888,0.007888
66,7060.87,1.02031,0.45657,1.0321,0.97941,0.9533,0.97736,0.72182,1.03927,0.38106,1.02983,0.007855,0.007855,0.007855
67,7136.8,1.02449,0.45992,1.03267,0.981,0.95125,0.97743,0.72224,1.03541,0.38333,1.03031,0.007822,0.007822,0.007822
68,7212.87,1.02443,0.46046,1.03613,0.98244,0.94852,0.97605,0.71696,1.04132,0.38533,1.03327,0.007789,0.007789,0.007789
69,7289.21,1.01542,0.46109,1.0326,0.98206,0.94764,0.97517,0.71428,1.04164,0.3809,1.03347,0.007756,0.007756,0.007756
70,7365.38,1.02409,0.46144,1.03444,0.97838,0.94832,0.97458,0.71987,1.03898,0.38154,1.03278,0.007723,0.007723,0.007723
71,7441,1.0101,0.45281,1.02449,0.97984,0.95224,0.97725,0.71909,1.03683,0.38011,1.02781,0.00769,0.00769,0.00769
72,7515.86,1.01495,0.45937,1.03388,0.98069,0.9508,0.97709,0.71906,1.03532,0.38198,1.03064,0.007657,0.007657,0.007657
73,7590.95,1.01096,0.45202,1.03182,0.97981,0.95071,0.97663,0.71805,1.03316,0.37535,1.032,0.007624,0.007624,0.007624
74,7666.6,1.01062,0.44987,1.02998,0.98435,0.94551,0.97753,0.71961,1.03282,0.37673,1.02736,0.007591,0.007591,0.007591
75,7742.25,1.00325,0.4476,1.02589,0.97853,0.94897,0.97696,0.71599,1.0365,0.37614,1.03001,0.007558,0.007558,0.007558
76,7817.09,1.00476,0.45345,1.02401,0.97824,0.94761,0.97833,0.71978,1.03665,0.37493,1.02731,0.007525,0.007525,0.007525
77,7892.3,1.01405,0.44953,1.02648,0.98118,0.95018,0.97799,0.72109,1.03707,0.37307,1.02903,0.007492,0.007492,0.007492
78,7967.59,1.0014,0.44476,1.0216,0.98119,0.95034,0.97645,0.72144,1.03926,0.37264,1.02961,0.007459,0.007459,0.007459
79,8042.6,0.99742,0.4426,1.02391,0.98331,0.94897,0.97656,0.72069,1.0365,0.37035,1.03154,0.007426,0.007426,0.007426
80,8118.09,0.99791,0.44529,1.02035,0.98526,0.94419,0.97736,0.7216,1.03281,0.36963,1.02758,0.007393,0.007393,0.007393
81,8193.1,1.00402,0.44659,1.02967,0.98282,0.94806,0.97772,0.72306,1.02944,0.36744,1.02528,0.00736,0.00736,0.00736
82,8269.43,0.98793,0.44566,1.02305,0.98122,0.95234,0.97783,0.72351,1.02611,0.37046,1.02595,0.007327,0.007327,0.007327
83,8346.23,1.00024,0.44725,1.02693,0.97845,0.9549,0.97821,0.7235,1.02935,0.369,1.02729,0.007294,0.007294,0.007294
84,8422.27,0.992,0.44312,1.02132,0.97983,0.95581,0.9785,0.72332,1.02869,0.36639,1.02778,0.007261,0.007261,0.007261
85,8497.48,0.99516,0.44255,1.02159,0.98452,0.95216,0.97781,0.72436,1.02499,0.36706,1.02674,0.007228,0.007228,0.007228
86,8573.92,0.99179,0.44362,1.02072,0.97894,0.95311,0.9777,0.72553,1.02637,0.36509,1.02424,0.007195,0.007195,0.007195
87,8649.77,0.98473,0.43963,1.02042,0.97852,0.95452,0.97776,0.72431,1.02757,0.36499,1.0248,0.007162,0.007162,0.007162
88,8725.1,0.99097,0.44009,1.01965,0.986,0.94897,0.9781,0.72439,1.02709,0.36367,1.02586,0.007129,0.007129,0.007129
89,8800.14,0.9949,0.4368,1.01824,0.98312,0.95034,0.97743,0.72426,1.02436,0.36259,1.0229,0.007096,0.007096,0.007096
90,8874.77,0.99826,0.4387,1.01902,0.98164,0.9501,0.97754,0.72635,1.02425,0.36141,1.02292,0.007063,0.007063,0.007063
91,8951.5,0.98664,0.43374,1.01671,0.98554,0.94852,0.97802,0.72712,1.0239,0.36031,1.02081,0.00703,0.00703,0.00703
92,9027.25,0.97483,0.42911,1.01403,0.97712,0.95319,0.97799,0.72629,1.02721,0.3594,1.02155,0.006997,0.006997,0.006997
93,9103.05,0.98341,0.43245,1.01637,0.97759,0.95397,0.97737,0.72565,1.02787,0.35865,1.02229,0.006964,0.006964,0.006964
94,9177.91,0.98328,0.43256,1.01661,0.98398,0.95124,0.97795,0.72601,1.02821,0.35895,1.02215,0.006931,0.006931,0.006931
95,9253.95,0.97785,0.43281,1.01646,0.98371,0.95125,0.979,0.72681,1.02505,0.36017,1.02249,0.006898,0.006898,0.006898
96,9329.47,0.97226,0.42678,1.01242,0.98391,0.95034,0.97814,0.72844,1.02553,0.3586,1.02242,0.006865,0.006865,0.006865
