epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11782.8,1.06215,0.47605,1.15958,0.98084,0.94624,0.97544,0.70372,1.06161,0.42471,1.1519,0.008614,0.008614,0.008614
44,11991.1,1.05926,0.4806,1.1569,0.98625,0.94487,0.97539,0.70168,1.06954,0.42087,1.15141,0.008581,0.008581,0.008581
45,12199.6,1.05476,0.47402,1.15343,0.9792,0.94367,0.97569,0.70543,1.06187,0.41753,1.1417,0.008548,0.008548,0.008548
46,12410.1,1.05759,0.474,1.16331,0.9871,0.94096,0.97238,0.70207,1.05994,0.42239,1.16131,0.008515,0.008515,0.008515
47,12618.3,1.05357,0.47795,1.15628,0.98345,0.94751,0.97625,0.70777,1.05408,0.41521,1.14023,0.008482,0.008482,0.008482
48,12828.5,1.054,0.47302,1.15958,0.98789,0.94852,0.97609,0.70884,1.05984,0.41144,1.15457,0.008449,0.008449,0.008449
49,13038.9,1.06424,0.47161,1.16579,0.98293,0.94455,0.97307,0.70204,1.05891,0.41089,1.1496,0.008416,0.008416,0.008416
50,13247.1,1.04379,0.46029,1.15219,0.98551,0.94396,0.97482,0.7049,1.0555,0.41441,1.14688,0.008383,0.008383,0.008383
51,13455.4,1.05571,0.46786,1.15878,0.9834,0.94456,0.97772,0.71382,1.04781,0.40475,1.15269,0.00835,0.00835,0.00835
52,13666.3,1.04071,0.46205,1.156,0.98754,0.9391,0.9751,0.70786,1.05719,0.40785,1.15956,0.008317,0.008317,0.008317
53,13874.5,1.04807,0.46169,1.15654,0.98674,0.94305,0.97754,0.7117,1.04752,0.40584,1.15338,0.008284,0.008284,0.008284
54,14082.9,1.03957,0.45731,1.1502,0.98465,0.94624,0.97629,0.71048,1.05568,0.40427,1.15918,0.008251,0.008251,0.008251
55,14291.3,1.04247,0.46289,1.15711,0.98784,0.94442,0.97662,0.70971,1.05553,0.40422,1.1474,0.008218,0.008218,0.008218
56,14499.7,1.0395,0.45815,1.14976,0.98602,0.9426,0.9765,0.71085,1.044,0.39944,1.13782,0.008185,0.008185,0.008185
57,14708.1,1.04099,0.45897,1.14639,0.99049,0.94624,0.97878,0.71523,1.04606,0.40087,1.15098,0.008152,0.008152,0.008152
58,14918.6,1.03643,0.45773,1.15227,0.98517,0.95216,0.97842,0.71461,1.05514,0.39753,1.14664,0.008119,0.008119,0.008119
59,15127,1.03367,0.45437,1.14274,0.98584,0.95216,0.98035,0.71802,1.0465,0.39053,1.13691,0.008086,0.008086,0.008086
60,15337.5,1.0325,0.44971,1.14991,0.98195,0.95353,0.97899,0.71973,1.05083,0.38659,1.14867,0.008053,0.008053,0.008053
61,15547.9,1.03409,0.45608,1.15562,0.98628,0.9495,0.979,0.72339,1.03716,0.38825,1.15212,0.00802,0.00802,0.00802
62,15758.6,1.03473,0.45344,1.15677,0.98993,0.9403,0.97792,0.71861,1.0434,0.38935,1.15425,0.007987,0.007987,0.007987
63,15967,1.01442,0.4441,1.14272,0.98404,0.95481,0.9782,0.71713,1.04119,0.38224,1.14307,0.007954,0.007954,0.007954
64,16175.3,1.02395,0.44829,1.14995,0.98201,0.95125,0.97686,0.71195,1.04717,0.39018,1.15361,0.007921,0.007921,0.007921
65,16383.9,1.02791,0.44922,1.15171,0.98233,0.94943,0.97869,0.72053,1.03992,0.383,1.15144,0.007888,0.007888,0.007888
66,16592.5,1.01847,0.44131,1.14872,0.98585,0.95198,0.9788,0.72039,1.03479,0.37564,1.14817,0.007855,0.007855,0.007855
67,16800.9,1.02588,0.4449,1.14619,0.98407,0.95034,0.97878,0.72246,1.03709,0.38049,1.14338,0.007822,0.007822,0.007822
68,17009.2,1.01878,0.44476,1.14601,0.98212,0.95101,0.97822,0.72003,1.04371,0.38671,1.14559,0.007789,0.007789,0.007789
69,17217.3,1.0204,0.44653,1.14458,0.98621,0.94507,0.9777,0.71634,1.03773,0.38533,1.15172,0.007756,0.007756,0.007756
70,17425.8,1.02458,0.44139,1.14689,0.98448,0.95361,0.97938,0.72141,1.03543,0.38045,1.15337,0.007723,0.007723,0.007723
71,17634.5,1.00612,0.43782,1.13557,0.97838,0.959,0.98071,0.72235,1.04059,0.37958,1.14493,0.00769,0.00769,0.00769
72,17843.2,1.01839,0.44366,1.14346,0.98395,0.9495,0.9787,0.7219,1.03614,0.37554,1.13711,0.007657,0.007657,0.007657
73,18051.9,1.00907,0.43842,1.13562,0.98163,0.94947,0.97847,0.72256,1.03205,0.3725,1.1353,0.007624,0.007624,0.007624
74,18260.5,1.0092,0.43446,1.13769,0.98034,0.95419,0.97918,0.72551,1.03504,0.376,1.14168,0.007591,0.007591,0.007591
75,18471,1.00339,0.4372,1.13804,0.9834,0.9508,0.97751,0.72261,1.03024,0.37526,1.13701,0.007558,0.007558,0.007558
76,18679.4,1.00846,0.43591,1.13478,0.98375,0.95399,0.9788,0.72251,1.03392,0.37014,1.13253,0.007525,0.007525,0.007525
77,18887.7,1.01804,0.43589,1.13698,0.98757,0.95672,0.98045,0.72562,1.03045,0.37128,1.13494,0.007492,0.007492,0.007492
78,19098.3,0.99819,0.43118,1.13056,0.98852,0.95216,0.98005,0.72536,1.03367,0.37107,1.13868,0.007459,0.007459,0.007459
79,19306.7,0.99937,0.42728,1.13115,0.98449,0.95672,0.98071,0.72764,1.03339,0.36891,1.1395,0.007426,0.007426,0.007426
80,19517.4,1.00069,0.42768,1.13454,0.98574,0.95581,0.98029,0.72744,1.03152,0.36933,1.14147,0.007393,0.007393,0.007393
81,19725.7,1.00153,0.4312,1.13394,0.98861,0.94915,0.98063,0.72728,1.03034,0.36833,1.13445,0.00736,0.00736,0.00736
82,19934.2,0.98886,0.42859,1.12775,0.98955,0.94868,0.98001,0.72649,1.02914,0.36828,1.12916,0.007327,0.007327,0.007327
83,20142.7,1.00573,0.42983,1.12432,0.97667,0.959,0.97982,0.7276,1.0337,0.36624,1.12457,0.007294,0.007294,0.007294
84,20351.1,0.99569,0.42782,1.1221,0.98539,0.95274,0.98005,0.72513,1.03346,0.36485,1.12378,0.007261,0.007261,0.007261
85,20559.2,0.99237,0.42238,1.12432,0.98627,0.94908,0.9799,0.72891,1.03125,0.36488,1.12542,0.007228,0.007228,0.007228
86,20769.5,0.99077,0.4242,1.12816,0.97879,0.95581,0.97991,0.72862,1.03265,0.36355,1.12942,0.007195,0.007195,0.007195
87,20977.7,0.98474,0.42218,1.12861,0.98371,0.95353,0.97977,0.72657,1.0332,0.3647,1.13468,0.007162,0.007162,0.007162
88,21186,0.99066,0.42552,1.12534,0.98996,0.94852,0.9806,0.72889,1.03153,0.36278,1.1337,0.007129,0.007129,0.007129
89,21396.4,0.99548,0.42234,1.12711,0.99286,0.95059,0.98033,0.7263,1.03274,0.36196,1.13556,0.007096,0.007096,0.007096
90,21605.3,0.99508,0.42321,1.12323,0.98679,0.95293,0.97933,0.7259,1.03038,0.36058,1.13298,0.007063,0.007063,0.007063
91,21813.6,0.98326,0.42321,1.12283,0.9836,0.95656,0.97918,0.72848,1.02874,0.36278,1.13342,0.00703,0.00703,0.00703
92,22022,0.97159,0.41396,1.11568,0.98313,0.95598,0.97987,0.72599,1.03501,0.36046,1.13592,0.006997,0.006997,0.006997
93,22230.2,0.9774,0.41738,1.11791,0.98208,0.95626,0.98095,0.72789,1.03525,0.35815,1.13612,0.006964,0.006964,0.006964
94,22438.4,0.97881,0.41715,1.12106,0.98818,0.95214,0.98065,0.72828,1.03351,0.35862,1.13423,0.006931,0.006931,0.006931
95,22646.6,0.97738,0.41601,1.11268,0.98593,0.95763,0.98144,0.72823,1.03259,0.35717,1.1324,0.006898,0.006898,0.006898
96,22854.8,0.97021,0.41008,1.11111,0.98237,0.95945,0.98148,0.7288,1.03032,0.35689,1.13523,0.006865,0.006865,0.006865
97,23064.9,0.96564,0.41,1.11074,0.98451,0.95854,0.98141,0.73016,1.02815,0.35381,1.13524,0.006832,0.006832,0.006832
98,23275.3,0.96881,0.41037,1.11174,0.98413,0.95945,0.98151,0.72892,1.03224,0.35462,1.13772,0.006799,0.006799,0.006799
99,23483.5,0.97198,0.41546,1.11091,0.98595,0.95881,0.9812,0.72927,1.03373,0.35541,1.13952,0.006766,0.006766,0.006766
100,23692.1,0.97508,0.41285,1.11554,0.98593,0.95771,0.982,0.73119,1.0325,0.35517,1.13294,0.006733,0.006733,0.006733
101,23902.3,0.96648,0.41154,1.11687,0.98326,0.95945,0.98111,0.73178,1.03286,0.35499,1.13499,0.0067,0.0067,0.0067
102,24112.6,0.97062,0.41483,1.11854,0.98821,0.95483,0.9808,0.72979,1.03319,0.35498,1.13566,0.006667,0.006667,0.006667
103,24320.8,0.96317,0.40859,1.11149,0.98277,0.96124,0.98101,0.73043,1.03446,0.3532,1.13445,0.006634,0.006634,0.006634
104,24529,0.96541,0.4079,1.10409,0.98475,0.95991,0.98198,0.72988,1.03395,0.35356,1.13368,0.006601,0.006601,0.006601
105,24737.1,0.95942,0.40488,1.09986,0.98209,0.96219,0.9817,0.73151,1.03255,0.35019,1.13305,0.006568,0.006568,0.006568
106,24945,0.95822,0.40543,1.10998,0.9824,0.96082,0.98192,0.72972,1.03255,0.35021,1.1348,0.006535,0.006535,0.006535
107,25153.2,0.95494,0.40683,1.10753,0.9832,0.95966,0.98198,0.7312,1.0344,0.34883,1.13546,0.006502,0.006502,0.006502
108,25361.4,0.95451,0.40268,1.10404,0.98364,0.96082,0.98257,0.73071,1.03377,0.34812,1.13348,0.006469,0.006469,0.006469
109,25569.6,0.94934,0.40159,1.10303,0.98317,0.96128,0.98254,0.73064,1.03388,0.34868,1.13246,0.006436,0.006436,0.006436
110,25777.4,0.94919,0.39854,1.10813,0.98121,0.96128,0.9814,0.73091,1.03493,0.34866,1.13241,0.006403,0.006403,0.006403
111,25985.7,0.94417,0.40044,1.10082,0.98282,0.95763,0.98092,0.73132,1.03367,0.34677,1.13234,0.00637,0.00637,0.00637
112,26193.9,0.95424,0.40601,1.10116,0.9845,0.95487,0.98064,0.72983,1.03372,0.34797,1.13161,0.006337,0.006337,0.006337
113,26401.9,0.94228,0.40016,1.10068,0.98427,0.95535,0.98085,0.73051,1.03376,0.34746,1.13173,0.006304,0.006304,0.006304
114,26610.3,0.94109,0.39542,1.09918,0.97971,0.96355,0.98179,0.73122,1.03317,0.34693,1.13083,0.006271,0.006271,0.006271
115,26818.4,0.94946,0.40059,1.09592,0.98276,0.96064,0.98186,0.7313,1.03391,0.34668,1.13018,0.006238,0.006238,0.006238
116,27026.6,0.9451,0.39907,1.10513,0.98049,0.96148,0.98077,0.7315,1.03543,0.34762,1.1329,0.006205,0.006205,0.006205
