epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7336.58,1.05495,0.47392,1.18475,0.97983,0.9426,0.97333,0.70239,1.06588,0.43149,1.22235,0.008614,0.008614,0.008614
44,7466.91,1.0527,0.47167,1.18039,0.98337,0.94275,0.97474,0.70505,1.07527,0.42274,1.20472,0.008581,0.008581,0.008581
45,7597.23,1.05205,0.46758,1.18085,0.98682,0.94077,0.97545,0.70774,1.06378,0.42386,1.21542,0.008548,0.008548,0.008548
46,7728.67,1.05169,0.46536,1.17907,0.97812,0.94761,0.9748,0.69932,1.06785,0.4319,1.22491,0.008515,0.008515,0.008515
47,7853.71,1.04245,0.46892,1.1676,0.99053,0.94077,0.97522,0.70748,1.06145,0.41759,1.19093,0.008482,0.008482,0.008482
48,7978.07,1.04691,0.46622,1.17955,0.98861,0.94077,0.97506,0.70997,1.06302,0.42185,1.20298,0.008449,0.008449,0.008449
49,8107.28,1.05774,0.46534,1.18656,0.98156,0.94579,0.97394,0.70817,1.0606,0.42005,1.20746,0.008416,0.008416,0.008416
50,8231.83,1.03523,0.4561,1.17306,0.98432,0.94402,0.97642,0.70706,1.05697,0.41756,1.2129,0.008383,0.008383,0.008383
51,8356.04,1.05275,0.46587,1.17985,0.98851,0.94078,0.97651,0.71552,1.04694,0.41172,1.1817,0.00835,0.00835,0.00835
52,8484.5,1.03681,0.45677,1.16707,0.9891,0.93895,0.97565,0.71348,1.04948,0.40405,1.17241,0.008317,0.008317,0.008317
53,8609.42,1.0433,0.46055,1.16674,0.98127,0.94715,0.97521,0.70925,1.06144,0.40539,1.17989,0.008284,0.008284,0.008284
54,8735.77,1.0351,0.45822,1.17012,0.9885,0.93981,0.97271,0.71342,1.05252,0.40628,1.21668,0.008251,0.008251,0.008251
55,8862.11,1.0342,0.45428,1.17153,0.98394,0.94882,0.97814,0.71563,1.05624,0.40213,1.19941,0.008218,0.008218,0.008218
56,8991.09,1.03663,0.45128,1.16853,0.98929,0.94624,0.97891,0.71908,1.0487,0.39854,1.20598,0.008185,0.008185,0.008185
57,9120.02,1.02911,0.45281,1.16252,0.98948,0.94231,0.97447,0.71066,1.04934,0.40731,1.19509,0.008152,0.008152,0.008152
58,9244.29,1.03235,0.45476,1.16863,0.9909,0.94214,0.97768,0.71912,1.04557,0.401,1.19291,0.008119,0.008119,0.008119
59,9368.74,1.02538,0.45074,1.16176,0.98902,0.94345,0.97842,0.71764,1.04166,0.39763,1.18559,0.008086,0.008086,0.008086
60,9493.26,1.02377,0.44697,1.16542,0.98538,0.94943,0.97848,0.71923,1.04613,0.38669,1.17547,0.008053,0.008053,0.008053
61,9621.81,1.02327,0.4473,1.1575,0.9816,0.94793,0.97778,0.72153,1.04159,0.39251,1.173,0.00802,0.00802,0.00802
62,9752.06,1.02696,0.44831,1.16369,0.98766,0.94772,0.97828,0.72086,1.04352,0.3901,1.18819,0.007987,0.007987,0.007987
63,9878.07,1.0087,0.43988,1.15908,0.98399,0.95178,0.97645,0.71698,1.0393,0.38514,1.20118,0.007954,0.007954,0.007954
64,10003.7,1.01216,0.43837,1.15856,0.9877,0.95103,0.97728,0.71527,1.05228,0.38901,1.19231,0.007921,0.007921,0.007921
65,10128.1,1.02029,0.44025,1.16197,0.98538,0.95196,0.97868,0.72184,1.04022,0.38429,1.19288,0.007888,0.007888,0.007888
66,10257.2,1.01125,0.43975,1.15491,0.98583,0.95085,0.97732,0.71828,1.0419,0.38199,1.17759,0.007855,0.007855,0.007855
67,10381.4,1.01504,0.44043,1.15219,0.9864,0.95308,0.97903,0.71999,1.04091,0.38708,1.17661,0.007822,0.007822,0.007822
68,10505.8,1.01293,0.4396,1.15879,0.9845,0.9467,0.97808,0.72197,1.0416,0.3871,1.18409,0.007789,0.007789,0.007789
69,10634.7,1.0082,0.43569,1.15422,0.98415,0.94852,0.97787,0.71711,1.04115,0.38277,1.1802,0.007756,0.007756,0.007756
70,10759.4,1.01691,0.43543,1.15927,0.98261,0.95227,0.97856,0.72235,1.03886,0.38397,1.1965,0.007723,0.007723,0.007723
71,10888.5,1.00027,0.43159,1.14375,0.98675,0.95028,0.97926,0.72078,1.04194,0.37952,1.16943,0.00769,0.00769,0.00769
72,11012.9,1.00909,0.4382,1.15076,0.98677,0.9511,0.9787,0.72202,1.03998,0.37551,1.17036,0.007657,0.007657,0.007657
73,11137.2,1.00291,0.43219,1.13751,0.98953,0.94702,0.97987,0.72419,1.03789,0.37177,1.14513,0.007624,0.007624,0.007624
74,11266.5,0.99841,0.42985,1.14173,0.97367,0.9601,0.97914,0.72536,1.03536,0.37359,1.15896,0.007591,0.007591,0.007591
75,11395.4,0.99161,0.42943,1.1387,0.98211,0.95043,0.98038,0.72461,1.034,0.37727,1.16338,0.007558,0.007558,0.007558
76,11519.9,0.99849,0.42893,1.15062,0.98205,0.95262,0.97972,0.72496,1.03652,0.37102,1.17243,0.007525,0.007525,0.007525
77,11644.1,1.00485,0.4283,1.14363,0.98125,0.95381,0.9788,0.72419,1.03414,0.37147,1.16351,0.007492,0.007492,0.007492
78,11768.2,0.98723,0.42706,1.13719,0.98354,0.95304,0.98009,0.72453,1.0372,0.37515,1.16176,0.007459,0.007459,0.007459
79,11892.5,0.98786,0.4194,1.14571,0.98679,0.95272,0.98019,0.726,1.03651,0.37189,1.1822,0.007426,0.007426,0.007426
80,12021.6,0.98391,0.42166,1.13487,0.98637,0.95262,0.98045,0.72575,1.03545,0.36795,1.16805,0.007393,0.007393,0.007393
81,12146,0.99248,0.42545,1.14086,0.98816,0.95094,0.97982,0.72623,1.03377,0.36809,1.15671,0.00736,0.00736,0.00736
82,12274.3,0.97307,0.41901,1.13253,0.98491,0.95154,0.979,0.7255,1.03396,0.3666,1.15726,0.007327,0.007327,0.007327
83,12398.6,0.99002,0.42444,1.13707,0.98449,0.95262,0.98017,0.72516,1.033,0.36817,1.15996,0.007294,0.007294,0.007294
84,12522.9,0.98322,0.42071,1.1324,0.98932,0.9508,0.98126,0.72603,1.03644,0.36613,1.15827,0.007261,0.007261,0.007261
85,12647.2,0.98442,0.41611,1.13379,0.9898,0.94761,0.98037,0.72881,1.03369,0.3615,1.15415,0.007228,0.007228,0.007228
86,12775.9,0.97679,0.41714,1.12911,0.98953,0.94754,0.97936,0.72788,1.03569,0.36331,1.14746,0.007195,0.007195,0.007195
87,12900.2,0.9747,0.41842,1.13391,0.98954,0.9485,0.97967,0.72919,1.03459,0.3638,1.15933,0.007162,0.007162,0.007162
88,13029.7,0.97862,0.41712,1.13394,0.98729,0.95514,0.98035,0.73118,1.03362,0.36342,1.16774,0.007129,0.007129,0.007129
89,13158.4,0.9798,0.41741,1.13125,0.98554,0.95535,0.9804,0.73059,1.03262,0.36043,1.17087,0.007096,0.007096,0.007096
90,13282.9,0.9881,0.41971,1.13278,0.98722,0.95399,0.98031,0.73011,1.02987,0.3608,1.1695,0.007063,0.007063,0.007063
91,13407.3,0.97065,0.41508,1.12555,0.9867,0.95444,0.98037,0.72946,1.02846,0.35826,1.16403,0.00703,0.00703,0.00703
92,13531.5,0.9597,0.40768,1.12447,0.98839,0.95444,0.98012,0.72915,1.03037,0.35889,1.16349,0.006997,0.006997,0.006997
93,13655.6,0.96343,0.41026,1.12339,0.98591,0.95644,0.98073,0.72763,1.03127,0.36071,1.16549,0.006964,0.006964,0.006964
94,13780,0.96369,0.40938,1.12681,0.99054,0.95454,0.98057,0.72827,1.03114,0.36066,1.16296,0.006931,0.006931,0.006931
95,13904.2,0.96293,0.40826,1.12037,0.98612,0.95626,0.98122,0.72872,1.03147,0.35945,1.16212,0.006898,0.006898,0.006898
96,14028.5,0.9554,0.40593,1.11255,0.98762,0.9549,0.98027,0.72784,1.03158,0.35801,1.15733,0.006865,0.006865,0.006865
97,14152.9,0.95377,0.40592,1.11693,0.98831,0.95535,0.98055,0.72946,1.03154,0.35743,1.16287,0.006832,0.006832,0.006832
98,14277.3,0.95694,0.40121,1.11205,0.98795,0.95353,0.98022,0.72935,1.03317,0.35631,1.1578,0.006799,0.006799,0.006799
99,14401.5,0.95109,0.40281,1.11305,0.98834,0.9549,0.9807,0.73048,1.03331,0.35674,1.15664,0.006766,0.006766,0.006766
100,14525.6,0.96154,0.40737,1.12842,0.98776,0.95581,0.98069,0.72883,1.0334,0.35709,1.1608,0.006733,0.006733,0.006733
101,14649.8,0.9524,0.40311,1.11302,0.98215,0.959,0.97952,0.72784,1.03146,0.3579,1.1581,0.0067,0.0067,0.0067
102,14774.3,0.9574,0.40407,1.11848,0.98365,0.95925,0.97914,0.72708,1.03367,0.35787,1.15833,0.006667,0.006667,0.006667
103,14898.4,0.94716,0.40138,1.11237,0.98333,0.95763,0.97871,0.72919,1.0326,0.35718,1.15748,0.006634,0.006634,0.006634
